conditions,brand,year,adress,price,image
Venant,Piaggio,2012,Fass                                                                                 Dakar,540000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/56a5b34eb8152e1f943fcd0b32536d27/-/horizon-files-prod/ed/picture/q6xdz9en/00232bf3b8456a68338ad20c0be4a17429ad346c.jpg
Venant,Yamaha,2023,Hann maristes                                                                                 Dakar,2500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/231d42c2bdf3881f99e0b39cd93c5b4e/-/horizon-files-prod/ed/picture/qm5gde8j/5d75add3f9f8f5aa1280bade1b82cb6eb1ef8524.jpg
Venant,BMW,2020,Almadies                                                                                 Dakar,5300000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03e08c0661a99965afdddb1de702f9e3/-/horizon-files-prod/ed/picture/q0g75j7j/4c3b339a8f9a3b74e36d14799cf0b8dcf88fbeba.jpg
Venant,Piaggio,2005,Mbao                                                                                 Dakar,400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/09b70627225907d817518cf9026d7910/-/horizon-files-prod/ed/picture/qkr88m0v/8bfef4c968d1d28e69c5f3d941980a26115613ce.jpg
D,Volkswagen,2013,Mbour                                                                                 Thiès,3860000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/30b714b8fa2d3a643afd47b171346195/-/horizon-files-prod/ed/picture/q56dz8pp/5229e1ec75f9842f46fa812a29a7f24e273a469f.jpg
Neuf,Honda,2020,Sacré-cœur                                                                                 Dakar,2950000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1fbaba67c6a0df4a0d192448691c9abe/-/horizon-files-prod/ed/picture/qzvpexwg/e456a35b6f6dc3004a9196241dfce2f9b8e94ef6.jpg
Venant,KTM,2021,Médina                                                                                 Dakar,5000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e7b127a608068cabc19e17a682b93715/-/horizon-files-prod/ed/picture/q0g755re/d09f5f0d29b89a46059fddc38c4ae82797c4cbbf.jpg
Neuf,Autre,2024,Fass                                                                                 Kaolack,650 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bef847a5042cdc9feea601bc760e323a/-/horizon-files-prod/ed/picture/q0g755md/4d77e150f2da0f6b1a8a9d6a5c26e8ea26a3de68.jpg
Venant,Yamaha,2007,Mbao                                                                                 Dakar,600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64dcc6f7a4d81761a163732d0c95c2f4/-/horizon-files-prod/ed/picture/qkr82xgp/74934d4e2d569402574377a4676f92401f78f88f.jpg
D,Autre,2013,Guediawaye                                                                                 Dakar,800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ca2582e0a1f5f34f074ad81ea6aefa0a/-/horizon-files-prod/ed/picture/q2j0kx22/4a4aee54462f2093966e9076c76cdb6a1cd20a0d.jpg
Venant,Suzuki,2024,Pikine                                                                                 Dakar,575000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b4afc870338832bd457155498fe2d6e7/-/horizon-files-prod/ed/picture/q78wgv4j/de61e9e51a92c532f4711a44e3ece672fc4a304b.jpg
Neuf,Yamaha,2023,Almadies                                                                                 Dakar,4400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fbc3867c72d2b385ce34022ea1c015b1/-/horizon-files-prod/ed/picture/q2j057pv/b34990e43ddfeef29d7d9eaa8c61f52c019dee9f.jpg
