conditions,brand,year,gearbox,adress,price,image
Venant,Mitsubishi,2016,Automatique,Sicap Sacré-cœur                                                                                 Dakar,9000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69babc9c13f8978641e670f4ae44ef83/-/horizon-files-prod/ed/picture/q8v4xg9n/3fe139e7649d5953fb7e3460016794a511dca97a.jpg
D'occasion,Hyundai,2017,Automatique,Sacré-cœur                                                                                 Dakar,5200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/33709cff7d3e364dc6ab5b8e477208f5/-/horizon-files-prod/ed/picture/q44nmw9z/41d10b0c5f4c40e1821e57e8ecc340b7b00b0f04.jpg
D'occasion,B,M,W,Cité Damel                                                                                 Dakar,33000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6718f28eb808e81330f09798bd5956b6/-/horizon-files-prod/ed/picture/qrz86gqx/f2a574fbc08904f49dda922e77b324dbcf505169.jpg
Venant,Ford,2016,Automatique,Cite Mixta                                                                                 Dakar,5200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c8db199ab84a85e5b38edaf658f3361/-/horizon-files-prod/ed/picture/qxjpxnn0/e5a75d7c5b3ee21342fe26fd2f8282798932a444.jpg
Venant,Jeep,2021,Automatique,Point-e                                                                                 Dakar,42000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac9a9b78494c4ab61974a829f31d1893/-/horizon-files-prod/ed/picture/q2j0ge22/492e7635d6ca5b2184f2eafd3f29c5c1434e1a8a.jpg
Venant,Jeep,2015,Automatique,Cité Damel                                                                                 Dakar,9500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c7d0305be00507d638ead2301bf36753/-/horizon-files-prod/ed/picture/q56dpj96/6736fb8b97f743ece2730846038524bde2a94495.jpg
D'occasion,Ford,2015,Automatique,VDN                                                                                 Dakar,4800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/214186027727a97c1a012d658177074b/-/horizon-files-prod/ed/picture/qkrgz4qx/93a8f1356d6048392c702cb28d8e89a8992e7a37.jpg
D'occasion,Kia,2012,Manuelle,Plateau                                                                                 Dakar,1700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/45daf764826f0f4bf6177af98631871b/-/horizon-files-prod/ed/picture/q44nr604/3fdd7d204385ce07c8bbbbfa05e30fa8114d817b.jpg
D'occasion,Ford,2012,Automatique,VDN                                                                                 Dakar,3600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c1ff0f8936a0aefe7e1f9eef6223ba2a/-/horizon-files-prod/ed/picture/q6xd549p/773880a043082729163a1294356e467f4b59157b.jpg
D'occasion,Chevrolet,2010,Automatique,Plateau                                                                                 Dakar,2200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d42b53cfdc3d746190ea68be475c4610/-/horizon-files-prod/ed/picture/qm5gd5k6/3fde3a67beecd6d289787b1bc0edcf69c7e5dbc0.jpg
Venant,Mitsubishi,2018,Automatique,Parcelles Assainies                                                                                 Dakar,8700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/39fc8bac9d653599230c88d1ff916f0a/-/horizon-files-prod/ed/picture/q2j0wxjd/34bddf8272e2f7d89e4e0262d23095aa6af14bbe.jpg
