condition,description,address,price,image
D'occasionJeep2014Automatique,Jeep grand Cherokee SUMMIT diesel,Liberte 6                                                                                 Dakar,8500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/851fd19c12b6bf33821e3318452e3860/-/horizon-files-prod/ed/picture/qkr8q7vv/9846f0e2e58c79f9c4d7573852df1d1c415908f2.jpg
VenantFord2015Automatique,Ford edge 2015,Mermoz                                                                                 Dakar,6400000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1277325dbadfc7b71fb98533e1caf5d6/-/horizon-files-prod/ed/picture/q56d8g25/b8c6491bed6be6a0fad7a4a3655dbfe5c9d76acf.jpg
D'occasionFord2011Automatique,Ford Escape 2011,Keur Massar                                                                                 Dakar,3490000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1e9cdb1438d36e9e747bd7a883f65130/-/horizon-files-prod/ed/picture/qxjpjz28/6d097cd5ec87e0f303e25c74e9dd750e5a4f3dbc.jpg
D'occasionFord2012Automatique,Ford scap essence automatique,Mermoz                                                                                 Dakar,4100000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0dfe72f7e1ca71bb2003754e0e63a6a9/-/horizon-files-prod/ed/picture/qenvjwjj/1745fecbb8dab3843c2b886a5a9af2851b106072.jpg
D'occasionHyundai2014Automatique,Hyundai santa fe 2014,VDN                                                                                 Dakar,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/03cee9f0b4c9f0a3ca2f5bd9d67eaa01/-/horizon-files-prod/ed/picture/q44nqp74/2c363e9f136e3faf1c013f645de6e436f99247b8.jpg
VenantFord2016Automatique,Ford explorer platinium 2016,Ouest foire                                                                                 Dakar,9800000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7d9b096969948f570a4e62cfbfe968ae/-/horizon-files-prod/ed/picture/qj4q7zw5/2d14207a212409a7d7b072e870065cdcee80595a.jpg
D'occasionMitsubishi2017Automatique,Mitsubishi outlander  7 places,Saly Portudal                                                                                 Thiès,11000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/29301de7ef1735183d32c4b5e255610d/-/horizon-files-prod/ed/picture/qngpnw2m/8c79a968f23878c52ac065f65a107b88f11dfc50.jpg
D'occasionMazda2016Automatique,Mazda cx5,Ouest foire                                                                                 Dakar,8700000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d55a2c4021eff3e9bea27b7b630927b/-/horizon-files-prod/ed/picture/q8v4xgd0/4ce93184e4713ac8a8eecc3c837e0399688b7caf.jpg
NeufBMW2021Automatique,Bmw x1 2021,Almadies                                                                                 Dakar,25500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7c05077448889378727c7575fe0cb1f/-/horizon-files-prod/ed/picture/qenv7r74/9add96cc7341a72c70c8ba98496394b6ae73300e.jpg
VenantPeugeot2018,Peugeot 3008,Thiès                                                                                 Thiès,11000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5bd5c076761a54d9da9390bc522470c4/-/horizon-files-prod/ed/picture/q6xd45z8/b919460e817e405e1b69041cdeb2107feb3983b2.jpg
VenantHyundai2017Automatique,Hyundai santafe Sport 2017,Yoff                                                                                 Dakar,7000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/084541a958181b16499bcb7fe9012a93/-/horizon-files-prod/ed/picture/q44nmx4m/e36c12975efb8fc3fa41d1687f80fe1d98df5d72.jpg
D'occasionCitroen2017Manuelle,Grand C4 Picasso 7 places,Mbour                                                                                 Thiès,6500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c57a26f52b069b8aa5e9f882d376dc98/-/horizon-files-prod/ed/picture/q78wrgp5/0e688141490b02797f229e7b63af423e24748c4e.jpg
D'occasionMitsubishi2017Automatique,Mitsubishi Pajero,Liberte 6                                                                                 Dakar,16000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1dda79068168a76cbac98002bdb06fc2/-/horizon-files-prod/ed/picture/qzvp6qxq/944f5816c2ab265f4df64442d1decc4b6bde5baa.jpg
VenantHyundai2016Automatique,Hyundai Santa fe 2016,Sicap Sacré-cœur                                                                                 Dakar,13000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/840c46c31c06707e3a071dd4f03c5176/-/horizon-files-prod/ed/picture/qgqw0xe8/89c2d3526d5ba95558e4097ff9d372b410b0680f.jpg
VenantRenault2016Automatique,Renault QM6 2016,Liberte 6                                                                                 Dakar,10500000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/211ded4671dc21544856360d2929682f/-/horizon-files-prod/ed/picture/q2j0ng5g/9824f52c4c89b15e6068367bb4003edffacc7fcd.jpg
VenantFord2017Automatique,Ford Escape 2017,Sacré-cœur                                                                                 Dakar,7600000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e632e39455ec40f6f82d055e5f75d22c/-/horizon-files-prod/ed/picture/q8v4x04n/4065e06b760dd2e31a6e59ae52bd0e6468e84fd8.jpg
D'occasionToyota2019Manuelle,Toyota Prado 2019,Amitié                                                                                 Dakar,22000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/20b567a610987b4e467e0ed91ac6a824/-/horizon-files-prod/ed/picture/qxjped9m/a0c1ca8bfc5f27af8606fb92501dfcdc9abde513.jpg
VenantMazda2017Automatique,MAZDA CX5 ANNÉE  2017,Sicap foire                                                                                 Dakar,13000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/004446e633fbeffd4ca981341bd70d9c/-/horizon-files-prod/ed/picture/qxjpeqqn/6750e567a216ae5693186afccdc8772dfcf133cb.jpg
VenantFord2017Automatique,Ford explorer 2017,Liberte 6                                                                                 Dakar,11000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/93ec7bedcf3668aaeebed459d46d372d/-/horizon-files-prod/ed/picture/q2j05nwe/c82ca1f832f7acaa73d33662558a9089677ae27a.jpg
VenantMitsubishi2016Automatique,MITSUBISHI  OUTLANDER SPORT  2016,Sicap Sacré-cœur                                                                                 Dakar,9000000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69babc9c13f8978641e670f4ae44ef83/-/horizon-files-prod/ed/picture/q8v4xg9n/3fe139e7649d5953fb7e3460016794a511dca97a.jpg
D'occasionHyundai2017Automatique,Hyundai Sonata  2017,Sacré-cœur                                                                                 Dakar,5200000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/33709cff7d3e364dc6ab5b8e477208f5/-/horizon-files-prod/ed/picture/q44nmw9z/41d10b0c5f4c40e1821e57e8ecc340b7b00b0f04.jpg
D'occasionFord2014,Ford fusion 2014,VDN                                                                                 Dakar,3900000 ,https://i.roamcdn.net/hz/ed/listing-thumb-224w/656e9dcc272da3bd86433c4d8eb737c8/-/horizon-files-prod/ed/picture/qngpnwj0/08e6af2679ddeff62da6ecfc2c1c2125340fbc37.jpg
