condition,brand,year,gearbox,adress,price,image-src
D'occasion,Ford,2013.0,Automatique,Grand-Dakar,4 600 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7afd9391dd22750081bf03f7d59a7147/-/horizon-files-prod/ed/picture/qwe29qmg/3801663944596329bb93b79b62c5d4429f0724df.jpg
Venant,Toyota,2017.0,Automatique,VDN,19 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b60dd6cc1d01c6b2a3e72927fbb4820a/-/horizon-files-prod/ed/picture/qm5m9w2j/ef8d81a82508018b4bbd1f7e58f77e7b242ef9cb.jpg
D'occasion,Peugeot,2012.0,Automatique,Hann maristes,3 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/89227c518420cd427c9e2f80fb2f98db/-/horizon-files-prod/ed/picture/qwe2qrqp/1603daf800c9ef831a957dd9a7a95ea0b5db68c2.jpg
Venant,Infinity,2015.0,Automatique,VDN,7 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1371164352f2a45d4cdbfbedb0a7ecc1/-/horizon-files-prod/ed/picture/qrzvpnwj/0277626dc51d010c9fa592f10ff61f80ff909c43.jpg
D'occasion,BMW,2019.0,Automatique,Fann,31 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d7950ec2192fac702cebbdc7a808bf4/-/horizon-files-prod/ed/picture/q9qkwvp/13a0e8bd518869075885fc1ca743149924bc019d.jpg
Venant,Land Rover,2019.0,Automatique,Sacré-cœur,44 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b735c8ee1e38fd123cea5f4d93f3fd1b/-/horizon-files-prod/ed/picture/qq47p5vw/3a7e831514e51ef408c31033d9bda8199a119b38.jpg
Venant,Chevrolet,2016.0,Automatique,Parcelles Assainies,6 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bcf7e051da8f276b346fe759ca87f7a4/-/horizon-files-prod/ed/picture/q9m94xw0/65c286a2c47632b4f1d6649e091f9f8c9a113dbc.jpg
Venant,Hyundai,2015.0,Automatique,Sicap foire,8 300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7ee31f20f77c24cc491d31357bf3d73d/-/horizon-files-prod/ed/picture/q6xkm90d/d00e5db52e1a30e2ce3d9759b155fd289b9b1931.jpg
Venant,Hyundai,2015.0,Automatique,Sicap foire,8 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3f53bb8c8b8f6c51686bcf7832cb1262/-/horizon-files-prod/ed/picture/qzvdqjdd/040d376206fd0b5ec849021009c38a130706acbe.jpg
Venant,BMW,2021.0,Automatique,Amitié,52 000 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/367b85f06fa9deb70b7abc673d165933/-/horizon-files-prod/ed/picture/qkr55j6x/bb9abfefc084ae8adfd76fa4e9cbe71f4055554f.jpg
